Validation_Set,Topics,Alpha,Beta,Coherence,Passes,coherence_cv,coherence_umass
100% Corpus,2.0,0.05,0.05,,10.0,0.39416324020326254,-0.4713196277756069
100% Corpus,2.0,0.05,0.05,,20.0,0.3953709611907388,-0.44949149201368654
100% Corpus,2.0,0.05,0.05,,30.0,0.3953709611907388,-0.4562211625304392
100% Corpus,2.0,0.05,0.05,,40.0,0.3953709611907388,-0.4562158515721333
100% Corpus,3.0,0.05,0.05,,10.0,0.3941962437960584,-0.46858734718798883
100% Corpus,3.0,0.05,0.05,,20.0,0.405149419950142,-0.5086417716531614
100% Corpus,3.0,0.05,0.05,,30.0,0.4101529753212481,-0.5243556526283869
100% Corpus,3.0,0.05,0.05,,40.0,0.40189253081093906,-0.5210909524616535
100% Corpus,4.0,0.05,0.05,,10.0,0.35555268045074656,-0.39268482993566056
100% Corpus,4.0,0.05,0.05,,20.0,0.40057032511528134,-0.49896789737385927
100% Corpus,4.0,0.05,0.05,,30.0,0.39625423089906886,-0.43715799659211313
100% Corpus,4.0,0.05,0.05,,40.0,0.39625423089906886,-0.4349502461540963
100% Corpus,5.0,0.05,0.05,,10.0,0.399625795143524,-0.3969433102033678
100% Corpus,5.0,0.05,0.05,,20.0,0.4013874886899519,-0.4660054614675328
100% Corpus,5.0,0.05,0.05,,30.0,0.4026534538871494,-0.38861638043938046
100% Corpus,5.0,0.05,0.05,,40.0,0.4010556016026947,-0.37830869919731275
100% Corpus,6.0,0.05,0.05,,10.0,0.39734853202408593,-0.6007315882068468
100% Corpus,6.0,0.05,0.05,,20.0,0.3941667144549965,-0.6138565990465007
100% Corpus,6.0,0.05,0.05,,30.0,0.398455994230227,-0.6033243719606258
100% Corpus,6.0,0.05,0.05,,40.0,0.39740071558465767,-0.579961385127311
100% Corpus,7.0,0.05,0.05,,10.0,0.4100529393373167,-0.6071178228828549
100% Corpus,7.0,0.05,0.05,,20.0,0.42174901866904096,-0.6491234556761024
100% Corpus,7.0,0.05,0.05,,30.0,0.4209437370579403,-0.645081091724356
100% Corpus,7.0,0.05,0.05,,40.0,0.4209437370579403,-0.6434497254666648
100% Corpus,8.0,0.05,0.05,,10.0,0.46829801972240515,-0.5086807286005679
100% Corpus,8.0,0.05,0.05,,20.0,0.47144554157510726,-0.5579719627238982
100% Corpus,8.0,0.05,0.05,,30.0,0.49109985590395155,-0.4971624027739391
100% Corpus,8.0,0.05,0.05,,40.0,0.48873649499519833,-0.48367978235782155
100% Corpus,9.0,0.05,0.05,,10.0,0.4617053438163048,-0.6716017015419997
100% Corpus,9.0,0.05,0.05,,20.0,0.45618237460838174,-0.6434273476115518
100% Corpus,9.0,0.05,0.05,,30.0,0.45463645566096733,-0.6330674829302695
100% Corpus,9.0,0.05,0.05,,40.0,0.45463645566096733,-0.6326143343980073
100% Corpus,10.0,0.05,0.05,,10.0,0.3621680911053845,-0.6773796839377227
100% Corpus,10.0,0.05,0.05,,20.0,0.36613876030708864,-0.6792410382611227
100% Corpus,10.0,0.05,0.05,,30.0,0.3635999396549035,-0.6940556901554676
100% Corpus,10.0,0.05,0.05,,40.0,0.3635999396549035,-0.6906826313532642
100% Corpus,11.0,0.05,0.05,,10.0,0.4648037854885743,-0.6849678948437234
100% Corpus,11.0,0.05,0.05,,20.0,0.46564239224800913,-0.6261174469596954
100% Corpus,11.0,0.05,0.05,,30.0,0.46564239224800913,-0.6223568121566516
100% Corpus,11.0,0.05,0.05,,40.0,0.466705061197959,-0.6389602968895952
100% Corpus,12.0,0.05,0.05,,10.0,0.35995711999471264,-0.5409974059455743
100% Corpus,12.0,0.05,0.05,,20.0,0.3555281452907928,-0.5326631121605975
100% Corpus,12.0,0.05,0.05,,30.0,0.35950221032892765,-0.5344355155911679
100% Corpus,12.0,0.05,0.05,,40.0,0.36339653917708886,-0.5448246992879878
100% Corpus,13.0,0.05,0.05,,10.0,0.4655039717942783,-0.678773993848631
100% Corpus,13.0,0.05,0.05,,20.0,0.4808211267253286,-0.6433904458541139
100% Corpus,13.0,0.05,0.05,,30.0,0.48019577821521087,-0.6390323322518008
100% Corpus,13.0,0.05,0.05,,40.0,0.4838896729438428,-0.6514193530786943
100% Corpus,14.0,0.05,0.05,,10.0,0.4401592691719034,-0.6220133926497572
100% Corpus,14.0,0.05,0.05,,20.0,0.4424979882061409,-0.5823474989358415
100% Corpus,14.0,0.05,0.05,,30.0,0.4482025313421662,-0.5905489128806527
100% Corpus,14.0,0.05,0.05,,40.0,0.454032562523445,-0.5425696868644959
100% Corpus,15.0,0.05,0.05,,10.0,0.3920564428340496,-0.48323151150496274
100% Corpus,15.0,0.05,0.05,,20.0,0.39556269208090106,-0.4817001084145883
100% Corpus,15.0,0.05,0.05,,30.0,0.3900787670388836,-0.4918103908908758
100% Corpus,15.0,0.05,0.05,,40.0,0.3870196639617799,-0.5152448156608267
100% Corpus,16.0,0.05,0.05,,10.0,0.4879794408345409,-0.45926996882749904
100% Corpus,16.0,0.05,0.05,,20.0,0.4829241531577346,-0.46803994680759753
100% Corpus,16.0,0.05,0.05,,30.0,0.4809509692826507,-0.4659912063860796
100% Corpus,16.0,0.05,0.05,,40.0,0.48389947254269383,-0.47309008380711504
100% Corpus,17.0,0.05,0.05,,10.0,0.368298982495606,-0.6593216419414435
100% Corpus,17.0,0.05,0.05,,20.0,0.37325559231213423,-0.7027722361936296
100% Corpus,17.0,0.05,0.05,,30.0,0.37330472891306854,-0.7063809827609179
100% Corpus,17.0,0.05,0.05,,40.0,0.36954978086572937,-0.6959178053885035
100% Corpus,18.0,0.05,0.05,,10.0,0.3457678164090483,-0.6578748964502492
100% Corpus,18.0,0.05,0.05,,20.0,0.35498827508280184,-0.6299243365444593
100% Corpus,18.0,0.05,0.05,,30.0,0.3629104771806435,-0.6586540363568942
100% Corpus,18.0,0.05,0.05,,40.0,0.36451842152650116,-0.6566969498996701
100% Corpus,19.0,0.05,0.05,,10.0,0.41640186072867613,-0.46045808314840314
100% Corpus,19.0,0.05,0.05,,20.0,0.4113290725294913,-0.546990289086274
100% Corpus,19.0,0.05,0.05,,30.0,0.41352700484391686,-0.553000253261943
100% Corpus,19.0,0.05,0.05,,40.0,0.4138204840149997,-0.5498693478394184
100% Corpus,2.0,0.05,symmetric,,10.0,0.3953709611907388,-0.46843694122730284
100% Corpus,2.0,0.05,symmetric,,20.0,0.38958817217627195,-0.4902685775190228
100% Corpus,2.0,0.05,symmetric,,30.0,0.38958817217627195,-0.48259406527469667
100% Corpus,2.0,0.05,symmetric,,40.0,0.38958817217627195,-0.48653207923548714
100% Corpus,3.0,0.05,symmetric,,10.0,0.3949333747522678,-0.3826983932153558
100% Corpus,3.0,0.05,symmetric,,20.0,0.39736894077616,-0.38976433949580497
100% Corpus,3.0,0.05,symmetric,,30.0,0.39769391607693877,-0.4682075106754818
100% Corpus,3.0,0.05,symmetric,,40.0,0.39769391607693877,-0.4714773576699873
100% Corpus,4.0,0.05,symmetric,,10.0,0.3969669686988839,-0.6956688113727889
100% Corpus,4.0,0.05,symmetric,,20.0,0.39678869375840314,-0.8361094637930027
100% Corpus,4.0,0.05,symmetric,,30.0,0.4021054036307489,-0.8332610314800282
100% Corpus,4.0,0.05,symmetric,,40.0,0.3942556340982944,-0.9384742056856291
100% Corpus,5.0,0.05,symmetric,,10.0,0.38447209442009916,-0.45356127065434426
100% Corpus,5.0,0.05,symmetric,,20.0,0.38621612590722126,-0.4618526418298049
100% Corpus,5.0,0.05,symmetric,,30.0,0.37735463488832865,-0.4672342550273168
100% Corpus,5.0,0.05,symmetric,,40.0,0.37367002882507283,-0.5449884460122856
100% Corpus,6.0,0.05,symmetric,,10.0,0.40066592830677966,-0.8232004331619628
100% Corpus,6.0,0.05,symmetric,,20.0,0.40763155194236145,-0.8109007148932307
100% Corpus,6.0,0.05,symmetric,,30.0,0.39631587742252644,-0.8773359851346334
100% Corpus,6.0,0.05,symmetric,,40.0,0.3987088148801969,-1.1369399281025978
100% Corpus,7.0,0.05,symmetric,,10.0,0.4099392847964415,-0.6552020958783339
100% Corpus,7.0,0.05,symmetric,,20.0,0.4178719632986559,-0.6294168697148862
100% Corpus,7.0,0.05,symmetric,,30.0,0.41787196329865595,-0.6311297183613009
100% Corpus,7.0,0.05,symmetric,,40.0,0.41787196329865595,-0.6298654716353563
100% Corpus,8.0,0.05,symmetric,,10.0,0.48229076717934866,-0.5154885574340927
100% Corpus,8.0,0.05,symmetric,,20.0,0.4848748689679626,-0.49787282588621606
100% Corpus,8.0,0.05,symmetric,,30.0,0.48607926121491135,-0.4958546452771634
