word,proportion in topic 0,proportion in topic 1,proportion in topic 2,proportion in topic 3,proportion in topic 4,p(topic0|word),p(topic1|word),p(topic2|word),p(topic3|word),p(topic4|word)
radio_frequency,0,0,0.00013326868,0,0,0,0,1.0,0,0
alter,0.00027986962,0,3.655795e-05,0,1.907294e-05,0.8341853763039816,0,0.10896540931552548,0,0.056849214380492896
gadamer,0,0,0,0,2.3515466e-05,0,0,0,0,1.0
village,0,0,0,0,0.00013872876,0,0,0,0,1.0
exportation,0,0,6.2717e-05,0,0,0,0,1.0,0,0
expect,0.0004634738,0.00026997807,0.00045370348,0.00015433141,0.00024724376,0.2917258780011844,0.169933205181485,0.28557610608824596,0.09714133960338729,0.15562347112569738
attraction,0,0,0,2.557114e-05,0,0,0,0,1.0,0
disgusting,2.066468e-05,0,0,0,0,1.0,0,0,0,0
rat,0.0028657007,0,0,2.5560363e-05,0,0.9911594416043531,0,0,0.008840558395646906,0
valid,6.950354e-05,0,0.00014983943,0.00021866619,9.9783356e-05,0.12923858167450555,0,0.2786193996128455,0.4065995396790092,0.1855424790336398
wwwwebster,1.9685289e-05,0,0,0,0,1.0,0,0,0,0
gamebox,0,0,0,0,2.351365e-05,0,0,0,0,1.0
resistance,2.0822723e-05,0,2.7580312e-05,0,0,0.43019457080742657,0,0.5698054291925734,0,0
express,0.00026120077,0,0.00014676283,0.00048461402,0.00022784292,0.23312743564613325,0,0.13098905895006063,0.4325286854436356,0.20335481996017052
interaction,0.0007378457,0.0018009519,0,0.00029907914,0.00085946394,0.19956119372140319,0.48709384523773,0,0.08089033834701966,0.23245462269384712
award,0,0,4.0978157e-05,3.4998404e-05,0,0,0,0.5393526173133685,0.4606473826866315,0
cap,5.3684205e-05,0,0,0,0,1.0,0,0,0,0
untrustworthy,1.7672439e-05,0,0,0,2.294402e-05,0.4351053650356525,0,0,0,0.5648946349643474
maine,0,0,0,2.5581458e-05,0,0,0,0,1.0,0
purchasing,0,0,1.054869e-05,0,0,0,0,1.0,0,0
consult,0.00015865639,0,2.7634129e-05,0,2.1023498e-05,0.76529504571229,0,0.13329599963008487,0,0.10140895465762516
provenience,0,0,1.0548127e-05,0,0,0,0,1.0,0,0
great,0.00020758889,0,0.0002251352,0.0003202735,0.0003448179,0.18909269427158784,0,0.20507562256311387,0.2917370983511725,0.3140945848141258
recursion,0,0,0.00018604119,0,0,0,0,1.0,0,0
legacy,5.2526546e-05,0,0,0,0,1.0,0,0,0,0
infiltrate,0,0,4.5164576e-05,0,0,0,0,1.0,0,0
heterogeneous,0,0.00010316714,0,0,0.00017761793,0,0.3674238884774783,0,0,0.6325761115225217
pilot,2.4048408e-05,0.00026738274,2.5751675e-05,0,0,0.07581875830722308,0.8429924980229605,0.08118874366981636,0,0
flim,2.06647e-05,0,0,0,0,1.0,0,0,0,0
inadequacy,0,0,0,2.5574385e-05,0,0,0,0,1.0,0
policymarine,2.0658612e-05,0,0,0,0,1.0,0,0,0,0
heatmap,0,0,0,6.663069e-05,0,0,0,0,1.0,0
conjugate,0,0,0,2.5574385e-05,0,0,0,0,1.0,0
formerly,2.0664662e-05,0,0,0,0,1.0,0,0,0,0
postgraduate,0,0,1.0148359e-05,0,0,0,0,1.0,0,0
runoff,0,0,0,0,2.3515604e-05,0,0,0,0,1.0
measurement,0.0002189101,0.0004361655,0.00025249296,3.9754836e-05,0,0.2310827641059213,0.46041878849655954,0.2665330149850842,0.041965432412435,0
eager,1.9685343e-05,0,0,0,0,1.0,0,0,0,0
icon,0,0,0,2.557114e-05,0,0,0,0,1.0,0
reproducible,0.00012138822,0,0,0,0,1.0,0,0,0,0
ethex,0,0,0,0.00015082881,0,0,0,0,1.0,0
unsuitable,0,0,0,6.655974e-05,0,0,0,0,1.0,0
urgent,0,0,0,0,6.127445e-05,0,0,0,0,1.0
issn,2.6214517e-05,0,6.1869214e-05,0,1.9063868e-05,0.24465799728596963,0,0.5774204454408508,0,0.17792155727317954
uunl,0,0,0,2.5581558e-05,0,0,0,0,1.0,0
deliberate,5.8634883e-05,0,9.546561e-05,0,0,0.3804976918385502,0,0.6195023081614498,0,0
accessibility,0,0,0,6.6401044e-05,6.12679e-05,0,0,0,0.5201033403116692,0.4798966596883309
irish,0,0,1.05487e-05,0,0,0,0,1.0,0,0
archaeology,0,0,7.998145e-05,0,0,0,0,1.0,0,0
rourke,2.0083062e-05,0,0,0,0,1.0,0,0,0,0
rigorously,0,0,0,0,2.3495113e-05,0,0,0,0,1.0
spectrometry,0,0,1.8767985e-05,4.641733e-05,0,0,0,0.287917373160464,0.712082626839536,0
lancet,0,0,0,0,2.3514032e-05,0,0,0,0,1.0
noncompliance,0,0,0,2.5185049e-05,0,0,0,0,1.0,0
inspirational,2.0353173e-05,0,0,2.5816542e-05,2.365316e-05,0.2914972050275923,0,0,0.36974332854741543,0.3387594664249923
connexion,0,0,0.00011562671,0,0,0,0,1.0,0,0
tagging,0,0,0,2.5581532e-05,0,0,0,0,1.0,0
blockstream,0,0,0,2.5411302e-05,0,0,0,0,1.0,0
mackerel,2.0743562e-05,0,2.762343e-05,2.558163e-05,0,0.28051316873242854,0,0.3735489415043187,0.3459378897632527,0
strike,5.3887175e-05,0,0,0,0,1.0,0,0,0,0
recovered,0,0,0,0,2.3513987e-05,0,0,0,0,1.0
borrow,0,0,0,0,6.126655e-05,0,0,0,0,1.0
dryland,0,0,0,0,6.1275736e-05,0,0,0,0,1.0
party,8.0952035e-05,0,0.00040280286,0.00010789709,0.0002146369,0.10040078328392689,0,0.49957635890286106,0.13381939349639715,0.2662034643168149
nil,2.1122494e-05,0,0,0,6.0727376e-05,0.25806386949729276,0,0,0,0.7419361305027072
duplication,0,0,1.6731608e-05,0.00013530192,0,0,0,0.11005209717028262,0.8899479028297174,0
tounderstand,0,0,0,0,2.3513987e-05,0,0,0,0,1.0
eur_dent_educ,0,0,1.014835e-05,0,0,0,0,1.0,0,0
proc,0,0.00010316626,0,0,0,0,1.0,0,0,0
stimulation,2.066468e-05,0,0,0,0,1.0,0,0,0,0
view,0.0016713031,0.00045014548,0.0003766309,0.0003677915,0.0005215491,0.49338524553980034,0.13288741231635823,0.11118517667872667,0.10857570215174789,0.15396646331336689
evaluative,0,0,0,2.5581558e-05,0,0,0,0,1.0,0
dwelling,2.0663772e-05,0,0,0,0,1.0,0,0,0,0
wwwfaoorg_epdf,0,0,8.0361984e-05,0,0,0,0,1.0,0,0
laypeople,5.352991e-05,0,0,0,0,1.0,0,0,0,0
irascibility,0,0,0,0,2.3515377e-05,0,0,0,0,1.0
draconian,0,0,0,0,2.3513943e-05,0,0,0,0,1.0
multiplied,0,0,0,2.557436e-05,0,0,0,0,1.0,0
backbone,0,0,8.026455e-05,0,0,0,0,1.0,0,0
minimis,0.00029330756,0,0,0,0,1.0,0,0,0,0
palgrave,0,0,0,2.5571117e-05,0,0,0,0,1.0,0
product,0.00017934969,0.0012959429,0.01639375,0.00016336393,9.842147e-05,0.00989197420930685,0.07147731272688428,0.9041920238415897,0.009010284841905088,0.005428404380314046
belay,0,0,0,2.557114e-05,0,0,0,0,1.0,0
storyline,0,0,0,0,6.127427e-05,0,0,0,0,1.0
capitalist,0,0,0,0,2.351531e-05,0,0,0,0,1.0
bachrach,0,0,0,0,2.3495066e-05,0,0,0,0,1.0
manifestation,0,0.000103476945,0,0,9.982476e-05,0,0.5089821711547102,0,0,0.4910178288452898
